Year,average_rain,pesticides_tonnes,avg_temp,Area,Item,hg/ha_yield
2018,1363.3498427588893,2523.6810399198957,20.821277669891774,Australia,Sorghum,3.4083840119730353
2004,1966.8397418126872,4074.4192692858524,14.941773421856723,China,Rice,6.229551061442149
1997,1280.395054820861,4098.23235330269,23.712089643728113,India,Sorghum,3.89730057783516
2010,1151.0996256418312,3993.582537479101,12.901336484614223,India,Maize,6.17880278159078
2008,1976.5442048857446,514.6129471912727,10.577671319687006,Australia,Maize,6.352932951843716
2012,1854.9738185371698,4000.3972283413223,11.27829095266743,China,Maize,7.761416888541636
2000,1021.878271670259,610.0563496980182,33.85646103788275,USA,Maize,8.265171151123951
2000,618.1756608945255,632.3716125607674,13.557155465273397,Brazil,Maize,7.2262520775968655
2013,1232.0147427467853,4739.835230458454,27.71195632842088,Brazil,Soybean,4.185102712315782
2013,1362.5533895973458,4098.7952450806515,11.698155105570656,China,Potatoes,24.384171954781177
1992,1960.3161335888935,2766.528229671363,12.704008805879553,USA,Sorghum,1.805603734140361
2011,2760.6805381832187,4376.101320344532,22.721906285233366,India,Soybean,2.130409028887307
1991,301.3174330921904,4946.929566333795,21.621773253858592,Albania,Sorghum,0.7890174403449027
2013,882.2508351171657,3057.10391249257,33.789507735996736,Albania,Rice,4.098735981253859
2019,742.404638382769,3068.363200537775,33.620886325518434,China,Wheat,3.8404473586603745
1991,1606.4243443425942,3774.5908755080404,29.490216063561626,USA,Potatoes,26.451861762727532
2010,1403.1622597208475,1168.3733723030105,25.052545753183743,USA,Rice,8.792904120157068
2022,2241.3053466965275,843.9530589788087,21.374007934825276,Brazil,Soybean,1.5874818408741047
2001,878.7645551256187,3800.307942575212,18.904463358210528,India,Wheat,3.246431027379
2011,1864.595424099324,1731.0749270205706,33.67718867438889,Australia,Rice,4.877335522765862
2014,2674.800338079886,684.0010779666106,25.072720285617137,USA,Sorghum,1.9261353992226935
2016,2749.897671771253,1581.2398523295712,24.476813192149862,Australia,Wheat,3.7467529494145113
2017,2884.596893230087,1799.5979706941312,15.797528044222872,Albania,Sorghum,0.5712194014181773
2005,2365.131225823968,4826.4860209333965,11.167445447127827,Australia,Rice,2.4010218770392266
2004,2736.7661375249622,3492.8189583287367,33.629714493988615,India,Soybean,2.1549301641067973
1992,856.6864415587678,2658.9730238246725,17.84338147111635,India,Sorghum,2.3071343638807
1996,753.2266441813357,4844.676962026198,21.064725583111468,Australia,Wheat,3.821871996059725
2010,218.16663458547407,4516.667304966161,12.865998589642672,China,Rice,2.6000260812628824
1998,2179.164200801475,2564.8842745046572,30.9231082477323,USA,Sorghum,2.6173171959707737
2007,2824.9081258784845,4529.341380531134,10.690795821398266,China,Soybean,1.0673205760831814
1993,723.4189661166939,2027.4802437326564,30.849769052477413,Australia,Potatoes,21.55539309601615
2014,1983.4420111952609,1159.799120129557,13.50712531969917,USA,Soybean,2.601484436247564
2003,2290.087325820977,1171.064102342205,32.164102815778804,Brazil,Soybean,1.6795766468380322
1998,2797.3198584145584,3314.9544669662123,28.244315933403936,China,Potatoes,19.012972207711023
2015,2011.2086272482206,2510.3409003293127,14.116756562682628,China,Soybean,1.1982194429561035
1991,2916.8224516965065,3298.164726557179,24.1454498214867,Australia,Potatoes,15.950130387225117
2009,1165.0847948351338,3433.5190616682276,17.81640785888049,Albania,Potatoes,19.459303001870076
2017,1179.7998945599415,121.3911357596109,14.455827472789586,Australia,Sorghum,2.435504639848635
1996,1720.4350280401677,279.6575658160327,31.47955498527771,China,Sorghum,3.742044724924292
1997,1273.8052671245398,2668.061855690337,20.088069162680736,USA,Potatoes,25.15045927038893
